"last_name, first_name","player_id","year","p_formatted_ip","k_percent","bb_percent","woba","xwoba","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","ff_avg_speed","ff_avg_break_z","sl_avg_speed","sl_avg_break_x","sl_avg_break_z","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","cu_avg_speed","cu_avg_break_x","cu_avg_break_z","si_avg_speed","si_avg_break_x","si_avg_break_z","fc_avg_speed","fc_avg_break_x","fc_avg_break_z","fs_avg_speed","fs_avg_break_x","fs_avg_break_z","st_avg_speed","st_avg_break_x","st_avg_break_z","sv_avg_speed","sv_avg_break_x","sv_avg_break_z"
"Fried, Max",608331,2024,"174.1",23.2,8,".273",".299",5,34.6,"73.871292176","93.362715837",24.1,45.9,"93.8","-19.8","83.6","-5.1","-43.7","85.7","1421","12.1","-32.7","74.6","-10.5","-66.6","93.6","10.4","-22.8","88.3","-3.1","-31.8",,,,"80.5","-16.2","-50.3",,,
"Canning, Griffin",656288,2024,"171.2",17.6,8.9,".341",".334",8.6,41.9,"80.443886517","94.700505891",24.5,48.4,"93.4","-15.2","87.7","-0.1","-36.7","88.6","1770","-16.4","-30.6","80.5","12.4","-48.4","92.9","-13.8","-18.8",,,,,,,,,,,,
"Montgomery, Jordan",656756,2024,"117.0",15.6,8.3,".370",".347",6,41,"77.212722234","94.218289135",26.9,49.6,"92.1","-17.1","84.2","-3","-35.4","83.1","1606","10.2","-27.8","79.2","-4.3","-50.8","91.8","14.7","-22.3",,,,,,,,,,,,
"Bradley, Taj",671737,2024,"138.0",26.6,8.1,".308",".314",10.2,42.9,"81.556942554","94.766375924",27.4,50.7,"96.4","-11",,,,,,,,"79.1","6.9","-62",,,,"90.9","4.5","-27","90.9","-10.7","-27.6",,,,,,
"Kikuchi, Yusei",579328,2024,"175.2",28,6,".297",".298",9.7,45,"79.146503958","94.844128643",29,48.4,"95.5","-13.2","88.3","-2.7","-31.9","86.8","1655","12.7","-27.7","82.4","-4.9","-45.1",,,,,,,,,,,,,,,
"Anderson, Tyler",542881,2024,"179.1",18.6,9.5,".308",".322",7.9,33,"76.273537333","93.1219435",27.8,49.3,"89.5","-14.7","81.3","-3.8","-36.6","78.9","1886","12.5","-31.7","71.6","-1.2","-63.5","88.1","17.5","-27","84.3","-3.7","-26.8",,,,,,,,,
"Martinez, Nick",607259,2024,"142.1",20.4,3.2,".279",".278",5.1,30.5,"74.850496934","92.978959505",23.1,51.1,"92.6","-14","84.9","1.2","-35.1","80.1","2105","-12.6","-35.8","80.8","-0.1","-55.7","92","-12.9","-17.8","89.1","2","-22.4",,,,,,,,,
"Suárez, Ranger",624133,2024,"150.2",23.2,6.5,".297",".297",5.1,34.3,"74.743507217","93.618829764",21.9,47.3,"91.8","-20","81.3","-7.6","-43.6","80","1231","10.7","-41.2","74.4","-11.7","-59.7","90.8","15.2","-28.3","86.5","-3.7","-31.2",,,,,,,,,
"Crawford, Kutter",676710,2024,"183.2",23.1,6.7,".304",".304",9.9,36.3,"77.710617066","93.646279363",25.3,52,"92.6","-12.4",,,,,,,,"77.3","7.9","-59.8",,,,"87.5","5.1","-26.9","82.4","-7.1","-31.7","80.8","12.8","-40.3",,,
"Cortes Jr., Nestor",641482,2024,"174.1",22.8,5.5,".307",".295",7.9,43.6,"79.122676225","94.470879177",24.2,50.4,"92","-13.4","81.7","-2.5","-47.2","83.6","1409","13.7","-34.9",,,,"90.2","3.7","-15.2","87.5","-4.6","-26.9",,,,"78.1","-14.9","-43.1",,,
"Montas, Frankie",593423,2024,"150.2",22.6,10.1,".325",".333",9.2,43.1,"77.762357972","94.576313396",24.9,48.7,"95.6","-14.5","85.4","7.5","-33.9",,,,,,,,"94.8","-13.8","-21.2","90.4","1.9","-27.5","86","-9.4","-34.3",,,,,,
"Brown, Hunter",686613,2024,"170.0",25.1,8.4,".296",".283",4.5,30.3,"74.687517768","92.855098176",25.1,46.3,"96","-12.3","89.3","3.7","-29.9","88.4","1463","-14","-26.3","82.9","4.7","-55.5","95.6","-13.6","-16.5","92.4","3.3","-22",,,,,,,,,
"Falter, Bailey",663559,2024,"142.1",16.5,7.6,".320",".336",9,41.3,"79.920380413","94.430660482",19.6,49.5,"91.8","-14.6","86.1","-3.3","-30.5",,,,,"77.7","-3.7","-48.6","92","7.9","-15.4",,,,"86.9","7.3","-21.2",,,,,,
"Rea, Colin",607067,2024,"167.2",18.9,6,".327",".339",8.7,42,"80.213678192","94.594415173",19.3,46.8,"93","-17.8",,,,,,,,"78.7","10","-53.7","92.3","-13.9","-23.1","87.6","2.1","-28.3","86.5","-13.8","-32.5","82","12.8","-41.7",,,
"Kremer, Dean",665152,2024,"129.2",22.2,9.2,".294",".326",9.8,35.4,"75.880741892","93.507892033",23.3,46.2,"93.4","-13.5",,,,,,,,"77","8.6","-60.7","92.2","-14.6","-20.1","86.9","5.5","-30.4","84.1","-8.9","-30.9",,,,,,
"Wacha, Michael",608379,2024,"166.2",21.2,6.6,".300",".311",8.2,32.5,"75.614261583","93.109005646",23.3,48.5,"93.6","-13.3","84.1","2.7","-37.1","81.2","1548","-13","-36.2","75.2","12.3","-60.8","93.6","-12.8","-16.6","88.8","1.2","-24.3",,,,,,,,,
"Heaney, Andrew",571760,2024,"160.0",22.9,5.9,".312",".325",8.3,40.1,"78.990582236","94.388347616",26.3,50.3,"91.6","-19.2","82.6","-2.2","-39","83.7","2105","17.4","-33.7","75.5","-9.2","-54.9","92.2","19.5","-28","84.7","5.1","-33",,,,,,,"80.1","-9.5","-46.3"
"Ragans, Cole",666142,2024,"186.1",29.3,8.8,".277",".283",6.2,35.4,"77.675891223","93.553010853",32,48.9,"95.4","-12.9","86","-0.9","-36.3","84.8","2161","16","-25.9","80.8","-10.2","-55","96.3","14.1","-12.7","90.8","1","-23.2",,,,,,,,,
"Cease, Dylan",656302,2024,"189.1",29.4,8.5,".266",".283",8.5,38.6,"78.282702241","94.084709267",32.4,48.2,"96.9","-10.8","87.7","2.2","-33.6","69.7","1554","-4.3","-39.3","82.3","3.1","-56.6","98.1","-10","-12.5","91.8","3","-26.2",,,,"82.6","11.2","-51.6",,,
